Commune;Nombre de ventes;Prix moyen au m²;Fourchette de prix au m²;Nombre de VEFA;Prix moyen au m²;Fourchette de prix au m²
Beaufort;3;*;*;0;*;*
Bech;1;*;*;0;*;*
Beckerich;9;*;*;3;*;*
Berdorf;8;*;*;0;*;*
Bertrange;26;5 773 €;4116 € - 8090 €;24;7 092 €;6252 € - 8613 €
Bettembourg;53;4 075 €;3112 € - 5189 €;25;5 474 €;3751 € - 6717 €
Bettendorf;11;3 444 €;2095 € - 5678 €;11;4 236 €;3031 € - 5263 €
Betzdorf;7;*;*;24;5 609 €;5069 € - 6519 €
Bissen;17;3 790 €;3174 € - 4717 €;6;*;*
Biwer;1;*;*;0;*;*
Boevange-sur-Attert;2;*;*;3;*;*
Boulaide;3;*;*;0;*;*
Bourscheid;0;*;*;0;*;*
Bous;11;4 303 €;3104 € - 5582 €;1;*;*
Clervaux;15;3 201 €;2139 € - 4416 €;13;3 518 €;2577 € - 4046 €
Colmar-Berg;19;4 129 €;2949 € - 5365 €;0;*;*
Consdorf;3;*;*;0;*;*
Contern;17;4 585 €;2897 € - 6503 €;14;6 339 €;5608 € - 7752 €
Dalheim;7;*;*;4;*;*
Diekirch;36;4 166 €;3152 € - 5666 €;24;4 827 €;4143 € - 5698 €
Differdange;210;3 858 €;2537 € - 4985 €;90;4 174 €;3081 € - 5065 €
Dippach;16;4 559 €;2811 € - 5795 €;1;*;*
Dudelange;130;3 980 €;2792 € - 5151 €;66;5 259 €;3871 € - 5945 €
Echternach;18;3 977 €;2833 € - 5147 €;11;5 154 €;4972 € - 5702 €
Ell;3;*;*;0;*;*
Erpeldange;6;*;*;0;*;*
Esch-sur-Alzette;264;3 868 €;2754 € - 5112 €;76;5 613 €;3951 € - 7070 €
Esch-sur-Sûre;5;*;*;0;*;*
Ettelbruck;66;3 674 €;2634 € - 5073 €;14;5 100 €;3846 € - 5775 €
Feulen;0;*;*;13;4 127 €;2973 € - 4732 €
Fischbach;5;*;*;0;*;*
Flaxweiler;1;*;*;0;*;*
Frisange;31;4 622 €;3284 € - 5696 €;15;5 049 €;4294 € - 5954 €
Garnich;0;*;*;0;*;*
Goesdorf;2;*;*;0;*;*
Grevenmacher;33;3 948 €;2783 € - 5281 €;0;*;*
Grosbous;3;*;*;5;*;*
Heffingen;2;*;*;1;*;*
Hesperange;100;5 312 €;3530 € - 6730 €;16;6 159 €;5031 € - 7822 €
Hobscheid;15;4 180 €;3069 € - 5452 €;5;*;*
Junglinster;15;4 909 €;3930 € - 5981 €;3;*;*
Kaerjeng;51;4 045 €;3219 € - 5126 €;6;*;*
Kayl;65;3 994 €;3063 € - 4990 €;22;4 424 €;3389 € - 5196 €
Kehlen;6;*;*;37;5 484 €;4180 € - 6467 €
Kiischpelt;2;*;*;0;*;*
Koerich;4;*;*;0;*;*
Kopstal;11;4 718 €;3498 € - 6072 €;7;*;*
Lac de la Haute-Sûre;2;*;*;0;*;*
Larochette;11;3 667 €;2947 € - 4356 €;7;*;*
Lenningen;5;*;*;0;*;*
